transaction_id,product_id,customer_id,first_name,last_name,gender,num_prev_purchase,DOB,age,job_title,job_industry,wealth_segment,owns_car,street,state,country,post_code,brand,product_line,product_class,product_size,list_price,standard_cost,transaction_date,day_of_week,year,month,day,online_order,order_status
1,2,2950,Kristos,Anthony,Male,19,1955-01-11,68,Software Engineer I,Financial Services,Mass Customer,N,984 Hoepker Court,VIC,Australia,3064,Solex,Standard,medium,medium,71.49,53.62,2017-02-25,Saturday,2017,2,25,FALSE,Approved
2,3,3120,Lauree,O'Donnell,Female,89,1979-02-04,44,Clinical Specialist,Health,Mass Customer,N,4 Shopko Circle,NSW,Australia,2196,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-05-21,Sunday,2017,5,21,TRUE,Approved
3,37,402,Berne,Donegan,Male,9,1977-06-03,46,Desktop Support Technician,Retail,Affluent Customer,N,586 Miller Parkway,NSW,Australia,2835,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-10-16,Monday,2017,10,16,FALSE,Approved
4,88,3135,Titus,Worsall,Male,83,1962-01-14,61,Staff Scientist,Financial Services,Mass Customer,N,1617 Harper Parkway,NSW,Australia,2096,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2017-08-31,Thursday,2017,8,31,FALSE,Approved
5,78,787,Norma,Batrim,Female,29,1996-12-15,26,,Retail,Affluent Customer,N,0601 Stephen Place,NSW,Australia,2292,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-10-01,Sunday,2017,10,1,TRUE,Approved
6,25,2339,Damien,Haddeston,Male,3,1958-12-28,64,Web Designer II,Property,Affluent Customer,N,7174 Thackeray Point,NSW,Australia,2153,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-03-08,Wednesday,2017,3,8,TRUE,Approved
7,22,1542,Sanders,Fernyhough,Male,56,1978-07-27,44,Food Chemist,Health,Mass Customer,N,243 Mosinee Place,NSW,Australia,2155,WeareA2B,Standard,medium,medium,60.34,45.26,2017-04-21,Friday,2017,4,21,TRUE,Approved
8,15,2459,Jeanna,Naulls,Female,67,1986-01-10,37,Quality Engineer,Manufacturing,High Net Worth,N,975 Annamark Hill,QLD,Australia,4034,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-07-15,Saturday,2017,7,15,FALSE,Approved
9,67,1305,Averil,Gentiry,Male,97,1970-03-01,53,Executive Secretary,Financial Services,High Net Worth,N,3 School Place,QLD,Australia,4124,Solex,Standard,medium,large,1071.23,380.74,2017-08-10,Thursday,2017,8,10,FALSE,Approved
10,12,3262,Maynord,L'Episcopi,Male,65,1959-10-14,63,Product Engineer,Entertainment,Mass Customer,N,2558 Morningstar Center,QLD,Australia,4221,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-08-30,Wednesday,2017,8,30,TRUE,Approved
11,5,1986,Melania,Ruske,Female,53,1981-12-30,41,,Retail,Mass Customer,N,366 International Way,NSW,Australia,2170,Trek Bicycles,Mountain,low,medium,574.64,459.71,2017-01-17,Tuesday,2017,1,17,FALSE,Approved
12,61,2783,Antonin,Gleaves,Male,14,1978-08-24,44,Sales Representative,Retail,Affluent Customer,N,13392 Emmet Parkway,NSW,Australia,2171,OHM Cycles,Standard,low,medium,71.16,56.93,2017-01-05,Thursday,2017,1,5,TRUE,Approved
13,35,1243,Robbert,Blakey,Male,73,1953-08-09,69,Research Assistant II,Retail,Mass Customer,N,2 Eliot Lane,NSW,Australia,2155,Trek Bicycles,Standard,low,medium,1057.51,154.4,2017-02-26,Sunday,2017,2,26,TRUE,Approved
14,16,2717,Frederic,McGown,Male,31,1981-03-25,42,Registered Nurse,Health,Mass Customer,N,6994 Hanson Place,NSW,Australia,2580,Norco Bicycles,Standard,high,small,1661.92,1.0,2017-09-10,Sunday,2017,9,10,FALSE,Approved
15,12,247,Kristal,Joysey,Female,62,1983-05-06,40,Staff Accountant II,Financial Services,High Net Worth,N,2 2nd Plaza,NSW,Australia,2283,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-06-11,Sunday,2017,6,11,FALSE,Approved
