customer_id,first_name,last_name,gender,num_prev_purchase,DOB,age,job_title,job_industry,wealth_segment,owns_car,street,state,country,post_code,num_purchase,total_purchase
1,Laraine,Medendorp,Female,93,1953-10-12,69.0,Executive Secretary,Health,Mass Customer,N,060 Morning Avenue,NSW,Australia,2016,11.0,10120.12
2,Eli,Bockman,Male,81,1980-12-16,42.0,Administrative Officer,Financial Services,Mass Customer,N,6 Meadow Vale Court,NSW,Australia,2153,3.0,4149.07
4,Talbot,,Male,33,1961-10-03,61.0,NA,IT,Mass Customer,N,0 Holy Cross Court,QLD,Australia,4211,2.0,1047.72
5,Sheila-kathryn,Calton,Female,56,1977-05-13,46.0,Senior Editor,n/a,Affluent Customer,N,17979 Del Mar Point,NSW,Australia,2448,6.0,6868.00
6,Curr,Duckhouse,Male,35,1966-09-16,56.0,NA,Retail,High Net Worth,N,9 Oakridge Court,VIC,Australia,3216,5.0,4852.40
7,Fina,Merali,Female,6,1976-02-23,47.0,NA,Financial Services,Affluent Customer,N,4 Delaware Trail,NSW,Australia,2210,3.0,995.38
8,Rod,Inder,Male,31,1962-03-30,61.0,Media Manager I,n/a,Mass Customer,N,49 Londonderry Lane,NSW,Australia,2650,10.0,12358.86
9,Mala,Lind,Female,97,1973-03-10,50.0,Business Systems Development Analyst,Agriculture,Affluent Customer,N,97736 7th Trail,NSW,Australia,2023,6.0,6224.94
11,Uriah,Bisatt,Male,99,1954-04-30,69.0,NA,Property,Mass Customer,N,93405 Ludington Park,VIC,Australia,3044,6.0,7736.94
12,Sawyere,Flattman,Male,58,1994-07-21,28.0,Nuclear Power Engineer,Manufacturing,Mass Customer,N,44339 Golden Leaf Alley,QLD,Australia,4557,7.0,6936.17
13,Gabriele,Norcross,Male,38,1955-02-15,68.0,Developer I,Financial Services,High Net Worth,N,2 Sutherland Street,VIC,Australia,3799,7.0,5967.71
14,Rayshell,Kitteman,Female,85,1983-03-25,40.0,Account Executive,Financial Services,Affluent Customer,N,9 Mcbride Trail,NSW,Australia,2760,4.0,3053.44
15,Erroll,Radage,Male,91,2000-07-13,22.0,Junior Executive,Manufacturing,Mass Customer,N,9861 New Castle Avenue,NSW,Australia,2428,6.0,6016.03
16,Harlin,Parr,Male,38,1977-02-27,46.0,Media Manager IV,n/a,Mass Customer,N,52 Moland Street,VIC,Australia,3331,5.0,8719.67
17,Heath,Faraday,Male,57,1962-03-19,61.0,Sales Associate,n/a,Affluent Customer,N,82391 Kensington Lane,VIC,Australia,3058,5.0,4676.19
18,Marjie,Neasham,Female,79,1967-07-06,55.0,Professor,n/a,Affluent Customer,N,092 2nd Alley,NSW,Australia,2135,7.0,9357.37
19,Sorcha,Keyson,Female,76,2001-04-15,22.0,Geological Engineer,Manufacturing,High Net Worth,N,59 Spaight Circle,NSW,Australia,2233,3.0,3104.41
20,Basile,Firth,Male,72,1980-08-13,42.0,Project Manager,Manufacturing,Mass Customer,N,032 Bartelt Crossing,NSW,Australia,2444,4.0,6618.86
21,Mile,Cammocke,Male,74,1980-09-20,42.0,Safety Technician I,Manufacturing,Affluent Customer,N,18 Jenna Center,NSW,Australia,2650,5.0,7446.21
24,Kim,Skpsey,Female,55,1977-12-03,45.0,Research Assistant I,Agriculture,Mass Customer,N,3 Cordelia Plaza,NSW,Australia,2153,8.0,7429.56
25,Geoff,Assaf,Male,72,1976-12-02,46.0,Accounting Assistant III,Financial Services,Mass Customer,N,28 5th Center,QLD,Australia,4413,12.0,11450.33
26,Trixi,Ginnelly,Female,12,1978-06-10,45.0,Editor,Financial Services,Mass Customer,N,52 Carey Alley,QLD,Australia,4740,3.0,3252.42
27,Garvin,Klees,Male,37,1978-09-25,44.0,Research Nurse,Health,Mass Customer,N,96 Texas Plaza,VIC,Australia,3218,7.0,8014.07
28,Fee,Zellmer,Male,5,1973-09-30,49.0,Senior Quality Engineer,Health,Affluent Customer,N,48 Eagan Avenue,QLD,Australia,4868,6.0,6445.88
29,Mona,Sancraft,Female,62,1968-06-22,55.0,Safety Technician III,Manufacturing,Mass Customer,N,9 Buell Park,QLD,Australia,4116,9.0,11871.79
30,Darrick,Helleckas,Male,18,1961-10-18,61.0,NA,IT,Affluent Customer,N,02663 Buell Parkway,NSW,Australia,2519,3.0,3736.52
31,Star,Praton,Female,3,1962-11-24,60.0,Staff Accountant III,Telecommunications,High Net Worth,N,2294 Pleasure Place,NSW,Australia,2135,4.0,2527.71
32,Marion,Vanichkin,Female,17,1995-04-20,28.0,Legal Assistant,Manufacturing,Affluent Customer,N,2951 Petterle Place,NSW,Australia,2756,7.0,7873.18
33,Ernst,Hacon,Male,44,1957-06-25,66.0,Product Engineer,n/a,Affluent Customer,N,63 Lukken Drive,NSW,Australia,2170,7.0,10450.96
34,Jephthah,Bachmann,U,59,1843-12-21,179.0,Legal Assistant,IT,Affluent Customer,N,833 Luster Way,QLD,Australia,4005,9.0,13439.50
35,Margaretha,Strettle,Female,40,1963-09-28,59.0,Information Systems Manager,Health,High Net Worth,N,34 Russell Plaza,QLD,Australia,4127,4.0,2646.48
36,Lurette,Stonnell,Female,33,1977-11-09,45.0,VP Quality Control,n/a,Affluent Customer,N,78 Del Sol Hill,NSW,Australia,2535,2.0,1781.04
37,Laurie,Dwerryhouse,Female,46,1985-12-22,37.0,Social Worker,Health,High Net Worth,N,54 Sage Plaza,QLD,Australia,4726,9.0,10006.61
38,Cordi,Merman,Female,37,1955-10-29,67.0,Senior Cost Accountant,Financial Services,Affluent Customer,N,90 Lawn Parkway,QLD,Australia,4805,4.0,4502.59
39,Hunfredo,Smalley,Male,5,1979-04-16,44.0,Assistant Media Planner,Entertainment,Mass Customer,N,38726 Ilene Crossing,NSW,Australia,2212,12.0,11751.13
